feature,importance
rest_diff,0.08441377
home_g5_ga,0.046157137
combined_clean,0.04446249
combined_g5_xgf,0.0421374
away_g5_xga,0.040660143
home_g5_clean,0.036395237
home_g5_wins,0.03598094
form_win_diff,0.034323443
away_g5_gf,0.032966103
form_ga_diff,0.03265794
home_g10_gf,0.031423297
form_xga_diff,0.031422123
form_xg_diff,0.030958215
away_g5_wins,0.029902758
home_g5_xga,0.029107763
combined_g10_gf,0.028922066
home_g10_ga,0.028776797
away_g5_xgf,0.028639955
form_gf_diff,0.027168378
home_g5_gf,0.027051723
tourney_importance,0.026978493
combined_g10_ga,0.02646992
away_g10_ga,0.026196692
away_g10_gf,0.025979416
away_g5_ga,0.025870258
away_g5_clean,0.025460519
combined_wins,0.0253746
combined_g5_gf,0.025021646
home_g5_xgf,0.02386654
home_rest,0.019856194
away_rest,0.016456224
min_rest,0.008941799
combined_xg,0.0
away_xg,0.0
diff_xg,0.0
home_shots,0.0
home_xg,0.0
away_shots,0.0
diff_shots,0.0
diff_shots_on,0.0
away_shots_on,0.0
combined_shots,0.0
home_shots_on,0.0
home_possession,0.0
combined_shots_on,0.0
rank_diff,0.0
home_rank,0.0
combined_rank,0.0
home_is_favorite,0.0
away_rank,0.0
home_short_rest,0.0
away_short_rest,0.0
is_neutral,0.0
odds_total,0.0
has_odds,0.0
